Username,Rating,Date,Review,Reply,Reply Date,Usefulness,Reply_Time_Days,Sentiment_Score,Sentiment,Tokens,UI_Issue,Performance_Issue,Feature_Request,Support_Complaint,Pricing_Complaint,delivery_issues,Payment_Problems,Food_Quality,Promotions_Issues
Mohan C,2,2025-04-06,not user friendly,"Hi, we are sorry about the ordeal. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-06,0,0,-0.3875,Negative,"['user', 'friendly']",,,,,,,,,
Dinay Santra,1,2025-04-06,delay for delivery,"Hey there, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-06,0,0,-0.3182,Negative,"['delay', 'delivery']",delay,delay,,delay,,"delay, delivery",delay,,delivery
Matthew Smith,1,2025-04-06,always late despite getting swiggy black  will not order again others are better,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-04-06,0,0,0.4404,Positive,"['always', 'late', 'despite', 'getting', 'swiggy', 'black', 'order', 'others', 'better']",,,,late,,"late, order",,order,
venkatesh simhadri,1,2025-04-06,bro what the heck no proper delivery very bad experience,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2025-04-06,0,0,-0.7178,Negative,"['bro', 'heck', 'proper', 'delivery', 'bad', 'experience']",bad,,,,,delivery,,bad,delivery
Vamsi krishna Kuraku,1,2025-04-06,worst experience delivery partners are not available dont use this app,"Hi, we are sorry about the below-par experience with your order. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-06,0,0,-0.6249,Negative,"['worst', 'experience', 'delivery', 'partners', 'available', 'dont', 'use', 'app']",,,use,,,delivery,app,,"delivery, use"
Ramakant Singh,3,2025-04-06,cheap,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.0,Neutral,['cheap'],,,,,,,,,
Sabnam Satpathy,1,2025-04-06,very unprofessional behaviour i ordered a meal but received one curry instead raised request multiple times but the support staff is so unprofessional they dont want to solve the issue they just keep closing all my queries under technical issues image not clear etc if the image was not clear the same should be conveyed at the moment not after 1 week of raising an issue fraudulent attitude,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-06,0,0,-0.9404,Negative,"['unprofessional', 'behaviour', 'ordered', 'meal', 'received', 'one', 'curry', 'instead', 'raised', 'request', 'multiple', 'times', 'support', 'staff', 'unprofessional', 'dont', 'want', 'solve', 'issue', 'keep', 'closing', 'queries', 'technical', 'issues', 'image', 'clear', 'etc', 'image', 'clear', 'conveyed', 'moment', 'week', 'raising', 'issue', 'fraudulent', 'attitude']","issue, issue",,want,"unprofessional, unprofessional, solve",,"issue, issue","issue, issue","issue, issue","received, issue, issue"
Md Azmat,5,2025-04-06,nice service,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4215,Positive,"['nice', 'service']",,,,,,,,,
Challa Laxman,4,2025-04-06,,"Hello, thank you so much for the positive review! We'll endeavor to keep it up. Please let us know how we can provide service worth 5 stars by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-04-06,0,0,0.0,Neutral,[],,,,,,,,,
Donthu SHASHI DHAR,1,2025-04-06,very worst service for delivery and very very worst customer support service ,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-06,0,0,-0.7797,Negative,"['worst', 'service', 'delivery', 'worst', 'customer', 'support', 'service']",,,,,,delivery,,,delivery
Zeba Ibrar,1,2025-04-06,im very upset with swiggy instamat bcz i bought an ice creams and it came very worst packaging and also delivered too late i genuinely request to swiggy instamat to do some work on it,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-06,0,0,-0.8067,Negative,"['im', 'upset', 'swiggy', 'instamat', 'bcz', 'bought', 'ice', 'creams', 'came', 'worst', 'packaging', 'also', 'delivered', 'late', 'genuinely', 'request', 'swiggy', 'instamat', 'work']",,,im,late,,"came, delivered, late",,packaging,work
Avudaiyappan Maddy,1,2025-04-06,worst chat support bot not able to interact no immediate solution,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-06,0,0,-0.3182,Negative,"['worst', 'chat', 'support', 'bot', 'able', 'interact', 'immediate', 'solution']",,,,solution,,,,,
Bommesh Nayak,3,2025-04-06,nowadays always it shows not delivering to your area,"Hello, we are sorry for the trouble you have been through. Please drop an email at swiggysocial@swiggy.in along with order ID and we will help you sort this out.",2025-04-06,0,0,0.0,Neutral,"['nowadays', 'always', 'shows', 'delivering', 'area']",,,,,,,,,
Balu Vaid,5,2025-04-06,good,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
BALAJI MALLI,5,2025-04-06,super,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Sumita Sen,3,2025-04-06,helpful,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4215,Positive,['helpful'],,,helpful,helpful,,,,,
kumaar 13,1,2025-04-06,never be on time but claim to be the amount of delay never gets reflected to the app it always says on time even if theres the delay of an hour after raising a complaint the have provided the number of the restaurant and the delivery boy but they dont focus on the real issue that is transparency why dont you reflect the original delay in app truly dissatisfied,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2025-04-06,0,0,-0.7783,Negative,"['never', 'time', 'claim', 'amount', 'delay', 'never', 'gets', 'reflected', 'app', 'always', 'says', 'time', 'even', 'theres', 'delay', 'hour', 'raising', 'complaint', 'provided', 'number', 'restaurant', 'delivery', 'boy', 'dont', 'focus', 'real', 'issue', 'transparency', 'dont', 'reflect', 'original', 'delay', 'app', 'truly', 'dissatisfied']","time, delay, time, delay, issue, delay","time, delay, time, delay, delay",,"never, time, delay, never, time, delay, delay",,"never, time, delay, never, time, delay, delivery, issue, delay","amount, delay, app, delay, issue, delay, app",issue,"delivery, issue"
Vivekanantha Bharathi,5,2025-04-06,nice,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
Fenil Shah,3,2025-04-06,delivery speed needs a lot more improvement it has deteriorated over the year the food that was being delivered in less than 30mins is now taking 60mins or more from the same restaurants,"Hey there, we are disappointed to know you feel this way about us. We request you to kindly let us know more about the issue by writing to us at swiggysocial@swiggy.in from your registered email address, so we can look into it and have it fixed at the earliest.",2025-04-06,0,0,0.5095,Positive,"['delivery', 'speed', 'needs', 'lot', 'improvement', 'deteriorated', 'year', 'food', 'delivered', 'less', 'taking', 'restaurants']",,,,,,"delivery, delivered",,food,delivery
Ayesha Bebe,5,2025-04-06,this app is best,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-06,0,0,0.6369,Positive,"['app', 'best']",,,,,,,app,,
NAGESHWAR LOHAR,1,2025-04-06,,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-06,0,0,0.0,Neutral,[],,,,,,,,,
Chaitra gowda,1,2025-04-06,worst experience and services and its almost 2hrs still my order is not delivered and also delivery agent is not receiving,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-06,0,0,-0.6249,Negative,"['worst', 'experience', 'services', 'almost', 'still', 'order', 'delivered', 'also', 'delivery', 'agent', 'receiving']",,,,,,"still, order, delivered, delivery",,order,delivery
Mehashri Murugesan,4,2025-04-06,good,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Prajwal Tamburi,4,2025-04-06,we are in vtu but we are dont getting free delivery,"Hey there! Thanks for the ratings, we would like to hear from you to improve our services and get a 5 rating. Kindly drop us an email at swiggysocial@swiggy.in with your feedback.",2025-04-06,0,0,-0.5504,Negative,"['vtu', 'dont', 'getting', 'free', 'delivery']",,,,,,delivery,,,"free, delivery"
Krishnamurthy Kicha,5,2025-04-06,super ,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Arjun Singh,5,2025-04-06,good application,Yay! We are super happy to know that you are enjoying our services. Thanks for taking the time out and sharing the review with a perfect star rating. Keep Ordering. 🙂,2025-04-06,0,0,0.4404,Positive,"['good', 'application']",,,,,,,,good,
Kareena Nain,5,2025-04-06,very nice ,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.4754,Positive,['nice'],,,,,,,,,
Dilpreet Kaur Bajwa,5,2025-04-06,very good food and discount price very nice,We are happy to hear such positive feedback. 🙂,2025-04-06,0,0,0.742,Positive,"['good', 'food', 'discount', 'price', 'nice']",,,,,price,,,"good, food",discount
Ravi Raj,3,2025-04-06,good,"We extend our gratitude for reviewing us. However, we do understand that there is room for improvement to achieve a 5-star from you. We look forward to hearing from you via mail addressed to swiggysocial@swiggy.in from your registered email address.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
vivek singh,5,2025-04-06,nice ,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
Rishabh Kulshrestha,5,2025-04-06,good service,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-04-06,0,0,0.4404,Positive,"['good', 'service']",,,,,,,,good,
Subhash Helon,5,2025-04-06,super good ,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-06,0,0,0.7783,Positive,"['super', 'good']",,,,,,,,good,
Mintu Kumar,5,2025-04-06,good ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Jyothiprakash Jyothiprakash,5,2025-04-06,good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Naveen Kumar,3,2025-04-06,super,"We appreciate your review. However, we would like to hear about how we can improve ourselves to get a 5-star rating. Please do write to us swiggysocial@swiggy.in from your registered email address with your valuable insights on improvement.",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Eshwar Pawar,4,2025-04-06,good,"Hi there, thank you for the review and the stars. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email from your registered address at swiggysocial@swiggy.in. Looking forward to hearing from you. Keep Swiggying till then. 😊",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Sunil Kumar,2,2025-04-06,good,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
shabeer ali.k,2,2025-04-06,disappointing experience  slow app  fake delivery times swiggy app is painfully slow often freezing or taking forever to load delivery times are also misleading  ive had several orders where the wait was much longer than promised overall its frustrating and unreliable,"Hey, we're sorry for the inconvenience caused. Kindly drop us an email at swiggysocial@swiggy.in from your registered email address regarding the same, and we'll work on fixing the issue asap.",2025-04-06,0,0,-0.9217,Negative,"['disappointing', 'experience', 'slow', 'app', 'fake', 'delivery', 'times', 'swiggy', 'app', 'painfully', 'slow', 'often', 'freezing', 'taking', 'forever', 'load', 'delivery', 'times', 'also', 'misleading', 'ive', 'several', 'orders', 'wait', 'much', 'longer', 'promised', 'overall', 'frustrating', 'unreliable']","disappointing, slow, slow, load, frustrating","slow, slow, load",,"slow, slow, wait",much,"delivery, delivery","app, app",,"delivery, delivery"
Palapala Adithya,5,2025-04-06,v good,Yay! We are super happy to know that you are enjoying our services. Thanks for taking the time out and sharing the review with a perfect star rating. Keep Ordering. 🙂,2025-04-06,0,0,0.4404,Positive,"['v', 'good']",,,,,,,,good,
Shabana Khan,1,2025-04-06,ghtiya app,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-04-06,0,0,0.0,Neutral,"['ghtiya', 'app']",,,,,,,app,,
Manikandan vaiyaburi Manikandan vaiyaburi,4,2025-04-06,this is very nice,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.,2025-04-06,0,0,0.4754,Positive,['nice'],,,,,,,,,
Afreenaffu begum,5,2025-04-06,super,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Rajesh Singh,1,2025-04-06,poor service,"Hi there, we did not mean to keep you waiting for your order. Please share your order ID by writing to us at swiggysocial@swiggy.in and allow us the chance to have this checked for you.",2025-04-06,0,0,-0.4767,Negative,"['poor', 'service']",poor,,,,,,,poor,
Pooja Varma,5,2025-04-06,good food,We are happy to hear such positive feedback. 🙂,2025-04-06,0,0,0.4404,Positive,"['good', 'food']",,,,,,,,"good, food",
Deepak Valmiki,5,2025-04-06,land sarves,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.0,Neutral,"['land', 'sarves']",,,,,,,,,
Revti Rajgure,5,2025-04-06, very nice,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4754,Positive,['nice'],,,,,,,,,
Manika Das,5,2025-04-06,good,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
गजानन साधुरामजी कुकडे,5,2025-04-06,good,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Priya Pamdey,1,2025-04-06,very bad experiencerude behaviour of delivery boy,"Hi, we are sorry about the sub-par experience you had faced while ordering with us. Please write to us at swiggysocial@swiggy.in along with the order ID, so we can assist you better.",2025-04-06,0,0,-0.5849,Negative,"['bad', 'experiencerude', 'behaviour', 'delivery', 'boy']",bad,,,,,delivery,,bad,delivery
Naziya Begum,4,2025-04-06,good,"Hi, thank you for delighting us with the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our service worth 5 stars.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Srinu Sunkari,5,2025-04-06,nice,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
Sudha Kar,4,2025-04-06,good,Hey there! Such a bliss! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.,2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Royal Glass and Hardwares,5,2025-04-06,good,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
naveen 80,1,2025-04-06,very bad experience on cancellation policy,"We are sorry to let you down. Please write to us at swiggysocial@swiggy.in from your registered email address elaborating further on your ordeal, so we can expiate for the miss.",2025-04-06,0,0,-0.5849,Negative,"['bad', 'experience', 'cancellation', 'policy']",bad,,,,,,,bad,
Satwant Singh,5,2025-04-06,good app,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-06,0,0,0.4404,Positive,"['good', 'app']",,,,,,,app,good,
praveen kumar maurya,3,2025-04-06,good,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Zoya Fatima,5,2025-04-06,good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
muhammed Ajmal,5,2025-04-06,,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-06,0,0,0.0,Neutral,[],,,,,,,,,
Ismail Bee,5,2025-04-06,super fast ,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",2025-04-06,0,0,0.5994,Positive,"['super', 'fast']",,,,,,,,,
2k girl 2k girl,3,2025-04-06,coming soon nice,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4215,Positive,"['coming', 'soon', 'nice']",,,,,,,,,
Huzefa Virani,5,2025-04-06,nice,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
manisha rawat,1,2025-04-06,ek dam bekar,"Hey, we request you to let us know more about your experience by writing us an email at swiggysocial@swiggy.in from your registered email ID so that we can have your concern addressed.",2025-04-06,0,0,0.0,Neutral,"['ek', 'dam', 'bekar']",,,,,,,,,
Salam Khan,1,2025-04-06,service delay,"Hello, we're sorry for the unpleasant experience. Please share your concern along with your order details via email at swiggysocial@swiggy.in so that we will look into this & assist you better.",2025-04-06,0,0,-0.3182,Negative,"['service', 'delay']",delay,delay,,delay,,delay,delay,,
udhaya kumar,4,2025-04-06,super,"Hi, thank you for delighting us with the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our service worth 5 stars.",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Pankaj Khubchandani,5,2025-04-06,very nice ,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-06,0,0,0.4754,Positive,['nice'],,,,,,,,,
Gokul Nath,5,2025-04-06,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Nagul Shariff,5,2025-04-06,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Maddineni srinivas rao,5,2025-04-06,ok,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.296,Positive,['ok'],,,,,,,,,
Kanmani Kanmani,5,2025-04-06,nice service,"Hello, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 😊",2025-04-06,0,0,0.4215,Positive,"['nice', 'service']",,,,,,,,,
ramvs ramalingam,5,2025-04-06,ok,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.296,Positive,['ok'],,,,,,,,,
Muskan Parveen,1,2025-04-06,good ,"Hi, please write to us about your experience at swiggysocial@swiggy.in from your registered email address, so we can better our services.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Aagam Jain,1,2025-04-06,what is the point of free delivery if you are going to charge me 10 rs as handling fee even for a single and small box of creme,No Reply,,0,,0.5106,Positive,"['point', 'free', 'delivery', 'going', 'charge', 'rs', 'handling', 'fee', 'even', 'single', 'small', 'box', 'creme']",,,,,,delivery,charge,,"free, delivery"
AA Mir,5,2025-04-06,best,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-06,0,0,0.6369,Positive,['best'],,,,,,,,,
Reshma Reshma,4,2025-04-06,good ,"Hi there, thank you for the review and the stars. We would love to hear from you about how we could hit the 5-star rating. Please do share your thoughts by dropping an email from your registered address at swiggysocial@swiggy.in. Looking forward to hearing from you. Keep Swiggying till then. 😊",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Kuttu Kittu,5,2025-04-06,good ,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Amit Kumar,1,2025-04-06,kamino mujhe add mat dikhao,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-04-06,0,0,0.0,Neutral,"['kamino', 'mujhe', 'add', 'mat', 'dikhao']",,,add,,,,,,
Abhijeet Meshram,1,2025-04-06,white collar scammers  it is surpising to me that theres no way to cancel a mistakenly placed order on this app and they have the gall to charge rs 1200 cancellation charges for order i tried to cancel within 5 seconds of making it never coming back to this app,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",2025-04-06,0,0,-0.8176,Negative,"['white', 'collar', 'scammers', 'surpising', 'theres', 'way', 'cancel', 'mistakenly', 'placed', 'order', 'app', 'gall', 'charge', 'rs', 'cancellation', 'charges', 'order', 'tried', 'cancel', 'within', 'seconds', 'making', 'never', 'coming', 'back', 'app']",,,way,never,,"order, order, never","app, charge, app","order, order",
Vikram Joshi,4,2025-04-06,nice app,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4215,Positive,"['nice', 'app']",,,,,,,app,,
Natasa Yesmin,1,2025-04-06,any product price is too much costly swiggy product price3x normal price too much annoying ad  i wanna ret this app 0 and also when i want some products those products always have out of stock ,"Hi, we are sorry about this. Please help us with the order id over an email at swiggysocial@swiggy.in, so we can help resolve the issue.",2025-04-06,0,0,-0.4215,Negative,"['product', 'price', 'much', 'costly', 'swiggy', 'product', 'normal', 'price', 'much', 'annoying', 'ad', 'wan', 'na', 'ret', 'app', 'also', 'want', 'products', 'products', 'always', 'stock']",annoying,,want,,"price, much, price, much",,app,,
Raju Avula,5,2025-04-06,good ,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
satish surisetty,4,2025-04-06,ok,"Hey, thank you for your feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.296,Positive,['ok'],,,,,,,,,
Rehan Uddin,1,2025-04-06,very bad service just they are playing and dramatic customer service,"Hey there, we are sorry for the unpleasant experience you had. Please share more details about the incident by writing an email at swiggysocial@swiggy.in from your registered email ID. we'll take it up.",2025-04-06,0,0,-0.4576,Negative,"['bad', 'service', 'playing', 'dramatic', 'customer', 'service']",bad,,,,,,,bad,
Lavi Beautyzone,5,2025-04-06,super,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
SHIKHAR GUPTA,5,2025-04-06,very best price,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-06,0,0,0.6697,Positive,"['best', 'price']",,,,,price,,,,
Mumtaz Qureshi,4,2025-04-06,reasonable rate as market price ,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.0,Neutral,"['reasonable', 'rate', 'market', 'price']",,,,,price,,,,
Vikram Singh,1,2025-04-06,cash on delivery band swiggy ko delete karo best zomato,"Hi, please let us know how we can make our service better by writing to us at swiggysocial@swiggy.in from your registered email address.",2025-04-06,0,0,0.6369,Positive,"['cash', 'delivery', 'band', 'swiggy', 'ko', 'delete', 'karo', 'best', 'zomato']",,,,,,delivery,,,delivery
Nara Pawan,1,2025-04-06,why instamart order page is not opening,We're disappointed to know the service has not been to your satisfaction. Kindly write to us at swiggysocial@swiggy.in from your registered email address and we'll have this addressed,2025-04-06,0,0,0.0,Neutral,"['instamart', 'order', 'page', 'opening']",,,,,,order,,order,
SETHU MADHAVAN,5,2025-04-06,good service and quick delivery,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,2025-04-06,0,0,0.4404,Positive,"['good', 'service', 'quick', 'delivery']",,,,,,delivery,,good,delivery
lovely lovely,5,2025-04-06,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
Anisha Rani,4,2025-04-06,nice app i oder food at 147 pm in night and the food was very nice and properly cook ,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.,2025-04-06,0,0,0.6808,Positive,"['nice', 'app', 'oder', 'food', 'pm', 'night', 'food', 'nice', 'properly', 'cook']",,,,,,,app,"food, food",
sharad Ghogare,1,2025-04-06,this app is literally scam no good service no customer support guys talk like they own it,"Hey there, we understand your disappointment. However, we would like to have this investigated. Request you to share the order details to swiggysocial@swiggy.in so that we can help you in this regard.",2025-04-06,0,0,-0.0,Neutral,"['app', 'literally', 'scam', 'good', 'service', 'customer', 'support', 'guys', 'talk', 'like']",,,like,,,,app,good,
anil kumar,5,2025-04-06,good  nice dor,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",2025-04-06,0,0,0.6908,Positive,"['good', 'nice', 'dor']",,,,,,,,good,
rayudu thupakula,4,2025-04-06,excellent,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.5719,Positive,['excellent'],,,,,,,,,
Mohan Kumari Ammu,5,2025-04-06,nice,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
Jayakumar S,4,2025-04-06,very good,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4927,Positive,['good'],,,,,,,,good,
Usha Rani,5,2025-04-06,super,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.5994,Positive,['super'],,,,,,,,,
Ashok Sri,5,2025-04-06,good,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-06,0,0,0.4404,Positive,['good'],,,,,,,,good,
nasiruddin Tech,4,2025-04-06,nice,"Hello, thank you for the positive review. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",2025-04-06,0,0,0.4215,Positive,['nice'],,,,,,,,,
FAHEEM SHAIKH,5,2025-04-06,good service,"Hey there, we're pleased that you enjoyed your experience with Swiggy. We'll endeavor to keep it up. Keep ordering. 🙂",2025-04-06,0,0,0.4404,Positive,"['good', 'service']",,,,,,,,good,
Kajal sachin Chauhan,5,2025-04-06,very tasty very crunchy ,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",2025-04-06,0,0,0.0,Neutral,"['tasty', 'crunchy']",,,,,,,,,
Suresh Kumar,5,2025-04-06,very good ,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",2025-04-06,0,0,0.4927,Positive,['good'],,,,,,,,good,
